ID,First Name,Last Name,Team,Position,Assists,bonus,Total points,xA,CS,Gc,Goals Scored,minutes,red_cards,starts,xG,xGi,xGc,code,PpG
101,Christian,Nørgaard,4,3,0,0,2,0.01,0,1,0,90,0,1,0.00,0.01,1.17,128295,2.0
102,Frank,Onyeka,4,3,0,0,1,0.00,0,0,0,6,0,0,0.00,0.00,0.56,428580,1.0
103,Myles,Peart-Harris,4,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,450539,0.0
104,Ethan,Pinnock,4,2,0,0,0,0.00,0,1,0,90,0,1,0.01,0.01,1.17,231065,0.0
105,Mads,Roerslev Rasmussen,4,2,0,0,2,0.00,0,1,0,90,0,1,0.00,0.00,1.17,226956,2.0
106,Kevin,Schade,4,3,0,0,2,0.01,0,1,0,73,0,1,0.13,0.14,0.50,513418,2.0
107,Igor Thiago,Nascimento Rodrigues,4,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,502500,0.0
108,Ivan,Toney,4,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,144485,0.0
109,Hákon,Valdimarsson,4,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,507433,0.0
110,Yoane,Wissa,4,4,1,3,11,0.01,0,1,1,83,0,1,1.00,1.01,0.61,216646,11.0
111,Yehor,Yarmoliuk,4,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,508395,0.0
112,Mathias,Jorgensen,4,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,48760,0.0
113,Simon,Adingra,5,3,0,0,6,0.05,0,0,1,45,0,0,0.17,0.22,0.21,535818,6.0
114,Benicio,Baker-Boaitey,5,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,475480,0.0
115,Carlos,Baleba,5,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,535301,0.0
116,Valentín,Barco,5,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,543158,0.0
117,Facundo,Buonanotte,11,3,0,0,2,0.19,0,1,0,78,0,1,0.00,0.19,0.98,536916,2.0
118,Amario,Cozier-Duberry,5,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,519324,0.0
119,Mahmoud,Dahoud,5,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,168090,0.0
120,Lewis,Dunk,5,2,0,0,6,0.00,1,0,0,75,0,1,0.07,0.07,0.45,83299,6.0
121,Julio,Enciso,5,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,474120,0.0
122,Pervis,Estupiñán,5,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,204214,0.0
123,Evan,Ferguson,5,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,487117,0.0
124,Billy,Gilmour,5,3,0,0,1,0.00,0,0,0,8,0,0,0.00,0.00,0.00,243568,1.0
125,Pascal,Groß,5,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,60307,0.0
126,Jack,Hinshelwood,5,3,0,0,3,0.01,1,0,0,90,0,1,0.00,0.01,0.45,532529,3.0
127,Ibrahim,Osman,5,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,612855,0.0
128,Igor Julio,dos Santos de Paulo,5,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,223434,0.0
129,João Pedro,Junqueira de Jesus,5,4,0,0,2,0.02,1,0,0,81,0,1,0.03,0.05,0.45,475168,2.0
130,Kacper,Kozłowski,5,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,484658,0.0
131,Tariq,Lamptey,5,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,232792,0.0
132,Solly,March,5,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,109345,0.0
133,Adrian,Mazilu,5,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,550141,0.0
134,James,Milner,5,3,0,0,2,0.11,1,0,0,81,0,1,0.00,0.11,0.45,15157,2.0
135,Yankuba,Minteh,5,3,1,0,4,0.65,0,0,0,45,0,1,0.00,0.65,0.25,592031,4.0
136,Mitoma,Kaoru,5,3,0,0,8,0.04,1,0,1,88,0,1,0.97,1.01,0.45,451340,8.0
137,Jakub,Moder,5,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,243505,0.0
138,Mark,O’Mahony,5,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,574402,0.0
139,Odeluga,Offiah,5,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,445548,0.0
140,Cameron,Peupion,5,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,491598,0.0
141,Jeremy,Sarmiento Morante,5,3,0,0,1,0.00,0,0,0,8,0,0,0.00,0.00,0.00,441192,1.0
142,Jason,Steele,5,1,0,1,7,0.00,1,0,0,90,0,1,0.00,0.00,0.45,49262,7.0
