ID_x,First Name_x,Last Name_x,Team,Position,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,gameweek,team_position,team_id,ID_y,First Name_y,Last Name_y,short_name,waiver_pick,Team Name
578,Riccardo,Calafiori,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,False,1,13.0,295362,297743,Lourenço,Marvão,LM,3,Los Porro Hermanos
589,Niclas,Füllkrug,19,4,17,0,0,0,1,0,0,0,0,0,0,0,2,1.2,0.4,0.0,0.2,0,0.0,0.0,0.0,0.27,1,False,1,14.0,295362,297743,Lourenço,Marvão,LM,3,Los Porro Hermanos
6,Jurriën,Timber,1,2,21,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.8,8.0,0.8,0,0.02,0.01,0.03,0.15,1,False,1,4.0,302714,305243,Clev,Clevinson Rodriguez,CC,2,Eze Come Eze Go
18,William,Saliba,1,2,90,0,0,1,0,0,0,0,0,0,0,0,26,14.8,0.9,0.0,1.6,1,0.0,0.0,0.0,0.47,6,False,1,2.0,302714,305243,Clev,Clevinson Rodriguez,CC,2,Eze Come Eze Go
108,Ivan,Toney,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,False,1,14.0,302714,305243,Clev,Clevinson Rodriguez,CC,2,Eze Come Eze Go
207,Jean-Philippe,Mateta,7,4,45,0,0,0,1,0,0,0,0,0,0,0,1,0.0,3.1,4.0,0.7,1,0.0,0.01,0.01,0.5,1,False,1,10.0,302714,305243,Clev,Clevinson Rodriguez,CC,2,Eze Come Eze Go
210,Tyrick,Mitchell,7,2,90,0,0,0,2,0,0,0,0,0,0,0,6,13.8,27.0,6.0,4.7,1,0.12,0.03,0.15,1.59,1,False,1,5.0,302714,305243,Clev,Clevinson Rodriguez,CC,2,Eze Come Eze Go
248,Bernd,Leno,9,1,90,0,0,0,1,0,0,0,0,0,4,0,12,33.0,0.0,0.0,3.3,1,0.0,0.0,0.0,2.43,3,False,1,12.0,302714,305243,Clev,Clevinson Rodriguez,CC,2,Eze Come Eze Go
321,Cody,Gakpo,12,4,11,0,0,0,0,0,0,0,1,0,0,0,-1,0.0,1.8,6.0,0.8,0,0.0,0.0,0.0,0.04,0,False,1,11.0,302714,305243,Clev,Clevinson Rodriguez,CC,2,Eze Come Eze Go
328,Mohamed,Salah,12,3,90,1,1,1,0,0,0,0,0,0,0,3,38,58.0,24.4,70.0,15.2,1,0.7,0.15,0.85,0.45,14,True,1,6.0,302714,305243,Clev,Clevinson Rodriguez,CC,2,Eze Come Eze Go
339,Virgil,van Dijk,12,2,90,0,0,1,0,0,0,0,0,0,0,0,24,8.8,1.5,4.0,1.4,1,0.0,0.01,0.01,0.45,6,False,1,3.0,302714,305243,Clev,Clevinson Rodriguez,CC,2,Eze Come Eze Go
341,Nathan,Aké,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,False,1,15.0,302714,305243,Clev,Clevinson Rodriguez,CC,2,Eze Come Eze Go
342,Bernardo,Veiga de Carvalho e Silva,13,3,90,0,1,1,0,0,0,0,0,0,0,0,26,32.0,38.1,30.0,10.0,1,0.13,0.2,0.33,1.01,6,False,1,9.0,302714,305243,Clev,Clevinson Rodriguez,CC,2,Eze Come Eze Go
347,Ederson,Santana de Moraes,13,1,90,0,0,1,0,0,0,0,0,0,3,1,30,19.6,0.0,0.0,2.0,1,0.0,0.0,0.0,1.01,8,False,1,1.0,302714,305243,Clev,Clevinson Rodriguez,CC,2,Eze Come Eze Go
360,Rodrigo 'Rodri',Hernandez,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,False,1,13.0,302714,305243,Clev,Clevinson Rodriguez,CC,2,Eze Come Eze Go
372,Alejandro,Garnacho,14,3,29,0,1,0,0,0,0,0,0,0,0,0,11,21.2,25.0,9.0,5.5,0,0.68,0.09,0.77,0.23,4,False,1,8.0,302714,305243,Clev,Clevinson Rodriguez,CC,2,Eze Come Eze Go
525,Mohammed,Kudus,19,3,90,0,0,0,2,0,0,0,0,0,0,0,11,7.6,27.5,22.0,5.7,1,0.08,0.47,0.55,2.03,2,False,1,7.0,302714,305243,Clev,Clevinson Rodriguez,CC,2,Eze Come Eze Go
3,Gabriel,dos Santos Magalhães,1,2,90,0,0,1,0,0,0,0,0,0,0,0,22,13.8,1.4,8.0,2.3,1,0.12,0.02,0.14,0.47,6,False,1,3.0,307954,310584,Tiago,Duarte,TD,4,Avengers Assemble
